Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-01T00:00,1.948,3.22,5.78,8.191,80,25.65
2022-01-01T00:30,2.076,3.59,5.617,8.221,84,25.6
2022-01-01T01:00,1.912,3.46,5.771,8.074,80,25.6
2022-01-01T01:30,1.974,2.96,5.81,8.169,90,25.6
2022-01-01T02:00,1.902,2.91,5.636,8.419,90,25.6
2022-01-01T02:30,1.781,3.45,5.658,8.418,84,25.6
2022-01-01T03:00,1.857,3.05,5.881,8.141,88,25.6
2022-01-01T03:30,1.961,3.74,5.87,7.991,83,25.6
2022-01-01T04:00,1.835,2.92,5.844,7.889,83,25.6
2022-01-01T04:30,1.864,3.1,5.533,7.914,81,25.55
2022-01-01T05:00,1.755,2.85,5.657,8.071,81,25.6
2022-01-01T05:30,1.868,3.03,5.845,8.099,81,25.6
2022-01-01T06:00,1.739,3.22,5.903,8.17,80,25.6
2022-01-01T06:30,1.878,2.98,5.502,7.923,88,25.6
2022-01-01T07:00,1.974,2.84,5.696,9.268,83,25.6
2022-01-01T07:30,1.905,3.29,5.564,7.577,83,25.6
2022-01-01T08:00,1.894,3.13,5.902,8.397,81,25.6
2022-01-01T08:30,2,3.19,5.627,8.43,83,25.65
2022-01-01T09:00,2.158,3.27,6.007,9.255,73,25.65
2022-01-01T09:30,2.01,3.67,5.683,9.276,75,25.65
2022-01-01T10:00,2.238,3.59,5.946,8.581,75,25.65
2022-01-01T10:30,2.258,3.93,5.927,8.474,73,25.65
2022-01-01T11:00,2.391,3.95,6.122,9.33,73,25.6
2022-01-01T11:30,2.251,4.12,6.284,8.899,71,25.6
2022-01-01T12:00,2.234,3.72,6.257,8.187,73,25.6
2022-01-01T12:30,2.228,3.52,6.177,9.618,75,25.65
2022-01-01T13:00,2.238,3.38,6.235,9.391,77,25.6
2022-01-01T13:30,2.447,3.95,6.209,9.595,74,25.6
2022-01-01T14:00,2.061,3.09,6.305,9.205,71,25.6
2022-01-01T14:30,2.229,3.63,6.474,9.024,60,25.6
2022-01-01T15:00,2.299,4.08,6.903,9.623,75,25.65
2022-01-01T15:30,2.123,3.85,6.494,9.136,73,25.65
2022-01-01T16:00,2.193,3.47,6.693,9.108,78,25.65
2022-01-01T16:30,2.108,3.45,6.618,10.016,64,25.65
2022-01-01T17:00,2.229,4.01,6.82,8.721,71,25.65
2022-01-01T17:30,2.301,3.8,7.134,9.483,78,25.65
2022-01-01T18:00,2.197,3.67,6.489,9.115,80,25.65
2022-01-01T18:30,2.341,3.68,6.711,9.734,75,25.6
2022-01-01T19:00,2.02,3.42,6.531,8.503,68,25.6
2022-01-01T19:30,2.09,3.18,6.787,9.749,70,25.6
2022-01-01T20:00,2.13,3.08,7.077,9.388,80,25.6
2022-01-01T20:30,2.113,3.51,6.699,9.575,67,25.55
2022-01-01T21:00,2.051,3.27,6.675,9.306,74,25.45
2022-01-01T21:30,2.163,3.25,7.187,9.345,75,25.45
2022-01-01T22:00,2.133,3.61,7.037,9.339,74,25.45
2022-01-01T22:30,2.166,3.44,6.841,9.332,67,25.45
2022-01-01T23:00,2.057,3.23,6.403,10.139,74,25.45
2022-01-01T23:30,2.33,4.2,6.545,8.935,67,25.45
2022-01-02T00:00,2.161,3.42,6.328,10.186,75,25.5
2022-01-02T00:30,2.177,3.13,6.506,8.925,68,25.55
2022-01-02T01:00,2.328,3.87,6.958,9.747,67,25.55
2022-01-02T01:30,2.362,3.79,6.727,9.644,71,25.5
2022-01-02T02:00,2.315,3.55,6.869,9.922,70,25.5
2022-01-02T02:30,2.426,4.37,7.054,10.656,70,25.45
2022-01-02T03:00,2.462,4.02,6.97,10.31,67,25.45
2022-01-02T03:30,2.509,3.91,7.474,10.224,71,25.45
2022-01-02T04:00,2.322,3.54,7.439,9.749,74,25.4
2022-01-02T04:30,2.43,4.05,7.503,9.862,73,25.2
2022-01-02T05:00,2.51,4.45,7.426,11.251,68,25.15
2022-01-02T05:30,2.517,4,7.705,10.378,64,25.2
2022-01-02T06:00,2.467,4.51,7.369,9.989,70,25.2
2022-01-02T06:30,2.248,4.26,7.124,10.749,67,25.3
2022-01-02T07:00,2.331,3.3,7.274,10.42,68,25.35
2022-01-02T07:30,2.306,4.63,6.912,11.4,66,25.4
2022-01-02T08:00,2.471,3.81,7.229,10.812,71,25.45
2022-01-02T08:30,2.313,4.76,7.058,10.299,71,25.5
2022-01-02T09:00,2.395,4.25,7.137,10.858,68,25.5
2022-01-02T09:30,2.279,4.68,6.857,9.855,74,25.5
2022-01-02T10:00,2.56,4.88,6.766,10.304,74,25.5
2022-01-02T10:30,2.377,3.83,6.992,10.608,66,25.55
2022-01-02T11:00,2.519,3.547,6.648,10.864,71,25.5
2022-01-02T11:30,2.443,3.61,6.774,9.867,73,25.5
2022-01-02T12:00,2.556,4.283,6.71,10.605,71,25.5
2022-01-02T12:30,2.562,4.09,6.726,10.638,75,25.5
